label,sentences
neutral,आप अपने हाथ भरे होंगे।
neutral,कि मैंने किया। कि मैंने किया।
neutral,तो चलो अपने कर्तव्यों के बारे में थोड़ा बात करें।
surprise,मेरे कर्तव्य? ठीक है.
neutral,"अब आप एक पूरे डिवीजन का नेतृत्व करेंगे, तो आप बहुत सारे कर्तव्य होंगे."
neutral,मैं देखता हूँ।
neutral,लेकिन वहाँ शायद 30 लोग आपके नीचे होंगे तो आप उन पर एक निश्चित मात्रा फेंक सकते हैं।
neutral,जानना अच्छा है।
neutral,हम विस्तार में जा सकते हैं
fear,मैं तुमसे नहीं माँगता!
neutral,"ठीक है तो, हम तुम के लिए Pazartesi को एक निश्चित जवाब है, लेकिन मुझे लगता है कि मैं कुछ विश्वास के साथ कह सकता हूँ, आप यहाँ अच्छी तरह से फिट होगा।"
surprise,सचमुच?
neutral,निश्चित रूप से. आप आराम कर सकते हैं
surprise,लेकिन फिर कौन? मैं पिछले महीने के साथ बाहर गया था रेस्तरां?
sadness,तुम्हें पता है? इसे भूल जाओ!
surprise,"नहीं-नहीं-नहीं, नहीं! कौन, तुम किस बारे में बात कर रहे थे?"
fear,"नहीं, मैं नहीं जानता, मैं वास्तव में नहीं जानता"
neutral,ठीक है!
neutral,"ठीक है, ठीक है..."
neutral,"हाँ, निश्चित है!"
neutral,"Hey, मोन."
neutral,Hey-hey-hey. आप कुछ सुनना चाहते हैं कि शून्य है.
joy,मैं कभी करता हूँ।
sadness,क्रिस कहते हैं कि वे बार बंद कर रहे हैं।
surprise,कदापि नहीं!
neutral,"हाँ, लगता है कि वे इसे किसी तरह का कॉफी जगह में बदल रहे हैं।"
disgust,बस कॉफी! अब हम कहाँ बाहर hang-out करने जा रहे हैं?
sadness,मुझे मिला.
neutral,मैं एक बियर ले सकता हूँ।
neutral,"Hey, तुम एक कमरेmate चुने थे?"
joy,तुम धोखे में पड़ो!
neutral,यह इटली के आदमी है?
joy,"उम्-अम्, हाँ सही!"
surprise,"ओह भगवान्, ओह भगवान्! गरीब मोनिका!"
surprise,"क्या, क्या, क्या!"
surprise,क्या?
neutral,इस कविता लिखने के समय वह उसके साथ थे।
neutral,"देखो, 'मेरा बर्तन इतना खाली है कि उसमें कुछ नहीं है।"
neutral,"अब जब मैंने तुमसे हाथ लगाया है तो तुम और भी खाली लग रहे हो। """
surprise,"वह समझता है कि मोनिका खाली है, वह खाली थाश है!"
sadness,"ओह, पूरी तरह से. ओह, भगवान, ओह, वह भी बहुत खुश लग रही थी."
neutral,किया गया.
surprise,Hey!
joy,हाय!
surprise,तुम यहाँ क्या कर रहे हो?
neutral,"आह तुम्हें पता है, यह भवन मेरे कागज मार्ग पर है तो मैं..."
neutral,ओह।
neutral,हाय!
neutral,यह कैसे हुआ?
joy,"ठीक है, महिला मैं बातचीत के साथ बहुत कठिन था, लेकिन आप जानते हैं ईश्वर की धन्यवाद मार्क मुझे प्रशिक्षण दिया था, क्योंकि एक बार मैं झरना रेखा के बारे में बात शुरू करने के लिए, वह सब खुश हो गया और चुप नहीं होगा।"
joy,मैं तुम पर गर्व करता हूँ।
joy,मैं भी!
sadness,"सुनो, मैं ah हूँ, मुझे क्षमा है कि मैं इतना पागल और ईर्ष्या है और, यह सिर्फ है कि मैं तुम्हें बहुत पसंद है, तो..."
neutral,मैं जानता हूँ।
neutral,हाँ.
neutral,अमरी-कान
neutral,अमरी-कान
neutral,Ameri-can. Y'know यह एक है
surprise,सभी!
joy,अच्छा काम जो! अच्छी तरह से किया गया! शीर्ष स्तर!
surprise,आप इसे पसंद किया? आप सचमुच इसे पसंद किया?
joy,"ओह-हो-हो, हाँ!"
neutral,निश्चित रूप से कौन सा भाग?
neutral,पूरी बात! हम जा सकते हैं?
anger,"ओह-नहीं-नहीं, मुझे कुछ विशिष्टताएं बताओ।"
joy,"मैं विशेषताओं को पसंद करता हूँ, विशेषताओं का सबसे अच्छा हिस्सा था!"
neutral,"अरे, क्या kangaroo के साथ दृश्य के बारे में? क्या-क्या तुम उस भाग को पसंद था?"
surprise,मैं प्रथम विश्वयुद्ध के एक महाकाव्य में एक kangaroo को देखकर आश्चर्य हुआ।
anger,तुम सो गए!
anger,कोई kangaroo नहीं था!
anger,उन्होंने मेरे सुझावों में से कोई भी नहीं लिया।
neutral,यह आने वाले दोस्त के लिए है।
neutral,मैं आप बाद में देख लूंगा।
sadness,मत जाओ!
sadness,मुझे खेद है।
sadness,मुझे बहुत अफसोस है!
surprise,देखो!
anger,यह आदमी सो गया!
anger,वह भी सो गया!
anger,उस पर पागल हो जाओ!
anger,"या, एम्बुलेंस को बुलाएं।"
neutral,"ठीक है, देखो, मुझे लगता है कि हम रेचेल को बताना होगा कि उसने अपने डिザーट को बिगाड़ दिया है."
anger,"क्या?! सभी के साथ क्या है? यह धन्यवाद है, नहीं... सत्य दिवस!"
neutral,"हाँ, और यह मेरे मरने की इच्छा है कि वह रिंग हो।"
neutral,"देखो, अगर मैं उस रिंग के साथ दफन नहीं किया गया हूँ तो मेरी आत्मा हमेशा के लिए नीचे की दुनिया में भटकने जा रहा है"
neutral,"ठीक है, यह काफी शहद है!"
neutral,मैं नहीं जानता. मुझे रिंग देखने दो.
joy,"महान! ठीक है, यहाँ।"
neutral,ठीक है.
joy,धन्यवाद. धन्यवाद. धन्यवाद! और
neutral,तुम क्या कर रहे हो?
neutral,"ओह, आप जानते हैं, आमतौर पर, एरोबिक्स पढ़ाने, बहुत ज्यादा पार्टी करने।"
neutral,"ओह, और यदि आप सोच रहे थे, उन नए जेम्स बॉंड पोस्टर पर मेरे पैर हैं।"
